id,text,created_at,vote_total,comment_count,alias,group_id,index_code,text_length,comment_ratio,high_engagement,created_hour,created_day,text_clean
cc3048dc-8259-43db-9f90-19e7cc53ea15,it’s happening!,2025-12-03 15:27:21.559000+00:00,92,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,XWllrpGP,15,0.0,0,15,2025-12-03,it’s happening!
f293eaa5-c405-405d-9b07-bfe84a7626de,I feel a sense of accomplishment when I have more minutes listened than ppl who post their Spotify wrapped on their story,2025-12-03 14:49:19.375000+00:00,86,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,0VHjUus2,121,0.0,0,14,2025-12-03,i feel a sense of accomplishment when i have more minutes listened than ppl who post their spotify wrapped on their story
ac5887f9-1ed2-4610-a138-31eb6535065d,Life would be so much better if they had diet coke on campus,2025-12-03 13:53:26.506000+00:00,58,5,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,oNVugCvN,60,0.0847457627118644,1,13,2025-12-03,life would be so much better if they had diet coke on campus
fcc8b55f-319b-4748-af40-ec39ca98c8eb,They won’t bat an eye at the sex toy you ordered dw,2025-12-03 02:33:16.329000+00:00,149,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,JQe0aPio,51,0.0,0,2,2025-12-03,they won’t bat an eye at the sex toy you ordered dw
7926355f-f26c-4531-a026-a4251d5a39fe,Can raise tuition but can’t even put those damn lights on the Chambers Trees,2025-12-03 03:07:56.006000+00:00,133,1,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,rIGwEFCb,76,0.007462686567164179,0,3,2025-12-03,can raise tuition but can’t even put those damn lights on the chambers trees
c408d878-79c0-4190-a485-85fcf03ffd02,all my ops are oxford comma deniers,2025-12-03 12:40:52.837000+00:00,53,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,MvJ9Dhe2,35,0.0,0,12,2025-12-03,all my ops are oxford comma deniers
75ee8c82-c71d-4b17-97b4-c94f70bdfa3a,"Anyone else get annoyed that the school constantly plugs athletic events to the entire student body and never mentions anything to do with the arts like holiday gala tomorrow?? Like I get athletes are a big deal here but so is other stuff, it’s so biased",2025-12-02 22:07:06.388000+00:00,192,11,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,p3Cd7KxA,254,0.05699481865284974,1,22,2025-12-02,"anyone else get annoyed that the school constantly plugs athletic events to the entire student body and never mentions anything to do with the arts like holiday gala tomorrow?? like i get athletes are a big deal here but so is other stuff, it’s so biased"
7eed0e0a-b040-4041-a37c-15b0079e9582,If you have Apple Music do NOT post your replay. It is not welcome in my Instagram,2025-12-03 17:16:04.996000+00:00,24,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,oPVUH7qg,82,0.0,0,17,2025-12-03,if you have apple music do not post your replay. it is not welcome in my instagram
f17c18e7-bff4-47fc-9be0-0615375c6ce0,Whatever is going on in the back of my hair is not my problem,2025-12-03 14:19:46.762000+00:00,30,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,lxZ5qxTP,61,0.0,0,14,2025-12-03,whatever is going on in the back of my hair is not my problem
ba99f322-c4fe-4f3b-9afe-6a089eb07ce2,My brain finding a new way for me to keep putting off the studying for my test tomorrow,2025-12-03 08:10:53.837000+00:00,52,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,lX3vPgN3,87,0.0,0,8,2025-12-03,my brain finding a new way for me to keep putting off the studying for my test tomorrow
