id,text,created_at,vote_total,comment_count,alias,group_id,index_code,text_clean,text_length,comment_ratio,high_engagement,created_hour,created_day,first_person_count,second_person_count,first_person_ratio,second_person_ratio,disagree_count,has_disagree,conflict_count,has_conflict,exclamations,questions,all_caps_ratio,vader_neg,vader_neu,vader_pos,vader_compound
21295482-4c6a-4e9e-8012-dd20b280f0c0,,2025-12-14 05:25:50.287000+00:00,0,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,kbswgpcY,,0,0.0,0,5,2025-12-14,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2a438d4-eac2-4a2b-975b-bdf3930c809b,Pray for Brown 🤎,2025-12-14 05:08:52.476000+00:00,7,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,2JDyMyq5,pray for brown brown_heart,16,0.0,0,5,2025-12-14,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.566,0.434,0.3182
4e015ca3-970e-420e-bf09-f5c115791696,The bits are on a generational run right now between Belk 201 and neurodivergent people doing finals,2025-12-14 05:02:41.856000+00:00,1,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,R3h2lBvx,the bits are on a generational run right now between belk 201 and neurodivergent people doing finals,100,0.0,0,5,2025-12-14,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91daece4-43c6-4ea0-94b3-b5d2d0c327ae,Thank god I’m moving out rn 😰,2025-12-14 04:33:28.936000+00:00,3,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,sJ3N2nZO,thank god i’m moving out rn anxious_face_with_sweat,29,0.0,0,4,2025-12-14,1,0,0.03333333333333333,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.521,0.479,0.5574
9b2de0fe-11d2-465f-80b5-4a996d8d3c5f,BRING BACK TEA APP. BRING BACK TEA APP. BRING BACK TEA APP. SAE NEEDS TO BE EVALUATED.,2025-12-14 04:02:22.066000+00:00,11,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,7Jx4kSo0,bring back tea app. bring back tea app. bring back tea app. sae needs to be evaluated.,86,0.0,0,4,2025-12-14,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61237c27-417a-4905-9609-ae2416738a46,Guys we haven’t had a hall meeting.. what do we need to do before break,2025-12-14 04:00:57.662000+00:00,1,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,NLBdaUUK,guys we haven’t had a hall meeting.. what do we need to do before break,71,0.0,0,4,2025-12-14,2,0,0.027777777777777776,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
b013463a-b11f-4d81-8f10-24fca936eaec,NOAH GET OFF YIK YAK AND GET A LIFE,2025-12-14 03:57:47.866000+00:00,9,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,REN4rXxA,noah get off yik yak and get a life,35,0.0,0,3,2025-12-14,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0342fdeb-2919-421a-a2d4-edf63eac5934,First time I heard triflin in the last decade and I don’t hate it,2025-12-14 03:21:52.022000+00:00,5,0,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,grnMEkld,first time i heard triflin in the last decade and i don’t hate it,65,0.0,0,3,2025-12-14,2,0,0.030303030303030304,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.252,0.748,0.0,-0.5719
c6f0841d-c646-4dec-96ed-e4e1d55f3bea,We need the tea app here cause I’ll be damned if I get played again. Guys here are triflin,2025-12-14 03:17:03.493000+00:00,1,1,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,6swj66dh,we need the tea app here cause i’ll be damned if i get played again. guys here are triflin,90,0.5,1,3,2025-12-14,3,0,0.03296703296703297,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.124,0.762,0.114,-0.0516
5c19dc04-273f-458b-a049-a2fcfeae7b8d,Just got called the n word by the middle school biker gang (I’m white),2025-12-14 01:32:51.212000+00:00,46,1,Anonymous,1fcad7b1-fce2-4ae1-bd48-bd1917b62d98,Fq3Dx1Pe,just got called the n word by the middle school biker gang (i’m white),70,0.02127659574468085,0,1,2025-12-14,1,0,0.014084507042253521,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
